dessert_name,city_id,dessert_number,dessert_address,dessert_rating,dessert_website,description,content_link
Donut Distillery,8,(615) 678-8685,"311 Gallatin Ave, Nashville, TN 37206",4.6,https://donutdistillery.com/,"Redefining the donut shop experience. True to its name, this place offers booze with its fried goodness (perfect for your bachelorette party). You can also get local craft beers, prosecco on tap, coffee cocktails, and four different flights. Kids welcome!",https://www.youtube.com/watch?v=VDh96zX91kw
Whitney's Cookies,8,(615) 716-2998,"100 4th Ave N, Franklin, TN 37064",4.9,https://whitneyscookies.co/,"Founded by chef Whitney Miller, who was the winner of FOX’s TV show MasterChef season 1, opened Whitney’s Cookies this September after selling gourmet cookies online, gaining fame at big events like Tim Tebows Foundation gala, it was no surprise she decided to open a storefront in Franklin TN. What makes them so special? Well, they are not your ordinary cookie. Think large, warm cookies with a chewy center of chocolate deliciousness. No wonder this has become Ana’s favorite new cookie spot. We love the classic or the new seasonal peppermint cookie. ",https://www.instagram.com/whitneyscookies/
Mike's Ice Cream,8,(615) 742-6453,"129 2nd Ave N, Nashville, TN 37201",4.6,https://mikesicecream.com/,"Mike’s Ice Cream is famous for serving up some of the city’s most delightful handmade ice creams. Featured in People Magazine and on the Rachel Ray Show, this local gem is known for its dedication to quality and flavor. Unlike mass-produced options, the ice cream at Mike’s is crafted in-store.",https://www.youtube.com/watch?v=uB-0hEP35V8
Legendairy Milkshake Bar,8,(615) 750-5843,"171 3rd Ave N, Nashville, TN 37201",4.2,https://www.legendairymilkshakebar.com/,"The Legendairy Milkshake Bar specializes in extravagant, customizable milkshakes topped with brownies, cookies, and candies. Their over-the-top milkshake creations make for a fun and indulgent dessert experience.",https://www.youtube.com/watch?v=KUlZjNCaJsg
Pink Door Cookies,8,(615) 882-1227,"3501 Park Ave, Nashville, TN 37209",4.9,https://pinkdoorcookies.com/,Pink Door was founded by premier pastry chef and Chopped champion Mathew Rice. Pink Door started out of his home before getting its own brightly colored spot in town. Look for the iconic pink front door.,https://www.youtube.com/watch?v=cCs2mrFoJfE
Five Daughters Bakery,8,(615) 997-6993,"5036 Broadway Place, Nashville, TN 37203",4.5,https://fivedaughtersbakery.com/,"Five Daughters Bakery is renowned for its 100-layer donuts, a hybrid of croissant and donut. Signature flavors like chocolate sea salt and vanilla cream make it a must-visit for dessert lovers.",https://www.youtube.com/watch?v=TESTsuifIZA
Caffe Vittoria,4,(617) 227-7606,"290-296 Hanover St, Boston, MA 02113",4.3,https://www.caffevittoria.com/,"The wonderful Caffé Vittoria is an Italian café with a ton of character that visitors to Boston who read up a bit on the city’s food scene frequent along with Italian Americans who have lived in this very old section of the city for much or all of their lives. The food options include classic Italian pastries and baked goods such as biscotti, cannoli, sfogliatella, tiramisu, lobster tails, cheesecake, limoncello cake, chocolate ganache, ricotta pie, napoletana and gelato, the last of which includes spumoni, a colorful and delicious treat that includes layers of different flavors. Biscotti options include one covered with chocolate and another with a mix of almond and anisette that is perfect to dip into a cup of hot coffee. Speaking of coffee, Caffé Vittoria has several coffee options, each of which is well worth trying. The espresso is a good one to get if you need a quick jolt from the extra caffeine, while the more mellow and creamier cappuccino goes very nicely with the aforementioned biscotti, as does the caffe mocha, which gets an added richness from chocolate. And yes, hot chocolate is also available here, while other coffee options include caffe latte, Americano and macchiato.",https://www.youtube.com/watch?v=dZq9KlpmAzo
Flour Bakery + Cafe,4,(617) 437-7700,"131 Clarendon St, Boston, MA 02116",4.6,https://www.flourbakery.com/,"Led by James Beard Award-winning pastry chef + co-owner Joanne Chang, Flour Bakery now has nine locations in Boston + Cambridge. They offer buttery breakfast pastries; soft + chewy cookies; luscious pies; gorgeous cakes; and fresh, made-to-order sandwiches, soups, and salads. They have multiple locations across Boston.",https://www.youtube.com/watch?v=3FA-w3vm8Wk
Thinking Cup,4,(617) 482-5555,"165 Tremont St, Boston, MA 02111-1152",4.4,http://thinkingcup.com/,"Thinking Cup is the first coffee shop in Downtown Boston to serve ""Stumptown Coffee"" exclusively. Stumptown, originating in Portland Oregon had been named “Best Coffee in the World” by NPR, The New York Times, Food & Wine Magazine, and USA Today. To ensure exceptional quality and freshness they obtain their beans directly from Stumptown’s roasting facility in Brooklyn, New York. Opening its doors in December 2010, Thinking Cup is ideally located just steps from the Boston Common. It was awarded Best Coffee Shop in Boston by Boston Magazine for 2011. They have multiple locations across Boston. ",https://www.youtube.com/watch?v=HZ6KEcRBqI0
Far Out Ice Cream,4,(617) 487-8102,"419 Harvard St, Brookline, MA 02446",4.5,https://www.farouticecream.com/,"This spot offers blended flavors of fruit and ice cream, made with a machine from New Zealand, are served at this swirly treat shop. They have multiple locations across Boston, including one at Fenway Park.",https://www.youtube.com/watch?v=wiOOqfn-q_o
Modern Pastry Shop,4,(617) 523-3783,"257 Hanover St, Boston, MA 02113",4.5,https://modernpastry.com/,"Nestled in the North End (Little Italy) and Medford, lies one of the oldest bakeries in Boston serving traditional Italian and American pastries. They also offer breakfast, lunch, dinner, and cocktails from their restaurant, ""Modern Underground"" located in their North End location. ",https://www.youtube.com/watch?v=H6BfVnfxApk
Bova's Bakery,4,(617) 523-5601,"134 Salem St, Boston, MA 02113",4.7,https://bovabakeryboston.net/,"Family-owned and operated since 1926, Bova’s Bakery is the premier bakery of Boston’s North End. For over eighty years Bova’s Bakery has been committed to baking authentic homemade items daily with only the healthiest ingredients. Offering a wide variety of Italian specialty cookies, cannolis, pastries and pies, and fresh warm Italian bread, the Bova family has perfected Italian baked goods with family recipe’s that have been handed down for over three generations.",https://www.instagram.com/bovasbakery/
Mike's Pastry,4,(617) 742-3050,"300 Hanover St, Boston, MA 02113",4.4,https://www.mikespastry.com/,"Founded in 1946, Mike’s Pastry is located in Boston’s historic North End on Hanover Street.  Mike’s Pastry is known for its iconic white box with bright blue lettering, tied with string, often seen carried by pedestrians throughout Boston as they savor their pastries on the go. From tourists to local Bostonians, and even presidents, Mike’s Pastry has earned a loyal following for its famous cannolis and lobster tails. As one of Boston’s most renowned Italian bakeries, Mike’s Pastry has expanded beyond its historic North End location. In addition to the Harvard Square spot, you can now enjoy Mike’s at Somerville’s Assembly Row and TD Garden, bringing a taste of Boston tradition to even more locations.",https://www.youtube.com/watch?v=oP0eqvQ63po
Da Vinci Gelato & Waffle,4,(617) 977-0011,"297 Huntington Ave, Boston, MA 02115",4.8,https://www.davincigelatowaffle.com/,"Da Vinci Gelato & Waffle opened Aug. 30 after nine months of construction, designing and decorating. The shop offers a total of 75 gelato and sorbet flavors with 24 displayed at once, pastries including macarons, pretzels and waffles — savory and sweet. ",https://www.instagram.com/davincigelatoboston/
The Pastry Box,2,(646) 429-8717,"515 E 12th St, New York, NY 10009",4.9,https://thepastrybox.co/menu,"This spot is a bakery with creative sweet and savory offerings such as black-and-white cookies and olive oil cake. You can find many items such as Fresh Loaf Cakes, Cookies, Doughnuts, Seasonal Tarts, Seasonal Jams, Nut Butters, Fruit Spreads, Granola, and more.",https://www.instagram.com/thepastryboxbakery/
Fit for a Cookie,3,(678) 245-9562,"1197 Peachtree St NE Suite 150, Atlanta, GA 30361",4.4,https://www.fitforacookie.com/,"Fit for a Cookie is a cozy bakery nestled in the heart of Atlanta, GA, known for its delectable assortment of freshly baked cookies. The bakery offers a variety of classic and unique cookie flavors, perfect for satisfying any sweet craving. At Fit for a Cookie, customers can expect high-quality ingredients and friendly service in a welcoming atmosphere. Whether looking for a sweet treat to enjoy alone or a gift for a loved one, this bakery has something to please every cookie lover.",https://www.instagram.com/fitforacookie/
The Cereal Lab,3,(678) 779-8002,"335 W Ponce de Leon Ave Ste D, Decatur, GA 30030",4.7,https://thecereallab.com/,"This spot will elevate the breakfast cereal experience and transform it into mouthwatering desserts that will leave you craving for more. With their unique “create your own” menu, they put the power in your hands to design the dessert of your dreams. From cereal-infused hand-spun milkshakes to premium ice cream and desserts baked with love, they’ve got it all. ",https://www.youtube.com/watch?v=r28B46ydp9o
Yummy Brothers,3,(678) 904-5329,"1100 Peachtree St NE, Atlanta, GA 30309",4.7,https://yummybrothers.com/,"Yummy Brothers is a family-run shop selling a wide selection of gourmet cookies made with pure ingredients. In addition, they sell dog treats. ",https://www.youtube.com/watch?v=g8gOK5ekDR4
Baked and Wired,,(703) 663-8727,"1052 Thomas Jefferson St NW, Washington DC, 20007",4.6,https://bakedandwired.com/,"A popular bakery offering mouth-watering cupcakes, cookies, and cakes with a variety of flavors. Known for its artisanal approach and cozy vibe, it’s a local favorite for dessert lovers.",https://www.youtube.com/watch?v=wepb1vA72Lo
The Secret Chocolatier,7,(704) 323-8178,"2935 Providence Rd #104, Charlotte, NC 28211",4.7,https://thesecretchocolatier.com/?srsltid=AfmBOopu4IDidODZ6oWBPyv28GRaNoV-fVi9JuIP13fQLoAoqOHHILWz,"Stop by this family-owned shop for truffles, caramels, barks, and toffees.",https://www.instagram.com/secretchocolate/
